ALU	a l u
ANSI	a n s i
ASCII	a s T i j
Ada	a D a
Alcalá	a l k a l a
Alcorán	a l k o rf a n
Alejandro	a l e x a n d rf o
Alejandría	a l e x a n d rf i a
Alemania	a l e m a n j a
Alfonso	a l f o n s o
Alfredo	a l f rf e D o
Algol	a l g o l
Alicia	a l i T j a
Alpes	a l p e s
Alzheimer	a l T e j m e rf
Amazonia	a m a T o n j a
América	a m e rf i k a
Amón	a m o n
Ana	a n a
Andorra	a n d o r a
Andrés	a n d rf e s
Antillas	a n t i L a s
Antonia	a n t o n j a
Antonio	a n t o n j o
Apocalipsis	a p o k a l i p s i s
Aquiles	a k i l e s
Arabia	a rf a V j a
Argel	a rf x e l
Aries	a rf j e s
Arpanet	a rf p a n e t
Arquímedes	a rf k i m e D e s
Arrás	a r a s
Arturo	a rf t u rf o
Asia	a s j a
Asturias	a s t u rf j a s
Australia	a w s t rf a l j a
Austria	a w s t rf j a
Babel	b a V e l
Babia	b a V j a
Barcelona	b a rf T e l o n a
Bañón	b a n~ o n
Benedicto	b e n e D i k t o
Bernarda	b e rf n a rf d a
Bernardo	b e rf n a rf d o
Bierzo	b j e rf T o
Bilbao	b i l b a o
Boadilla	b o a D i L a
Brasil	b rf a s i l
Bruselas	b rf u s e l a s
Bélgica	b e l x i k a
Bósforo	b o s f o rf o
CAD	k a d
Calahorra	k a l a o r a
Calatrava	k a l a t rf a V a
California	k a l i f o rf n j a
Cambridge	k a m b rf i tS
Canadá	k a n a D a
Caribe	k a rf i V e
Carlos	k a rf l o s
Carlota	k a rf l o t a
Catalina	k a t a l i n a
Caín	k a i n
Ceilán	T e j l a n
Centronics	T e n t rf o n i k s
Cibeles	T i V e l e s
Cid	T i d
Cobol	k o V o l
Codasyl	k o D a s i l
Compostela	k o m p o s t e l a
Congo	k o n g o
Constantino	k o n s t a n t i n o
Constantinopla	k o n s t a n t i n o p l a
Corinto	k o rf i n t o
Coruña	k o rf u n~ a
Corán	k o rf a n
Creta	k rf e t a
Cristina	k rf i s t i n a
Cristóbal	k rf i s t o V a l
Daimiel	d a j m j e l
Dante	d a n t e
David	d a V i d
Delia	d e l j a
Diego	d j e G o
Diesel	d j e s e l
EEPROM	e e p rf o m
EISA	e j s a
EPROM	e p rf o m
Eduardo	e D w a rf d o
Emilio	e m i l j o
Escorpio	e s k o rf p j o
España	e s p a n~ a
Esther	e s t e rf
Ethernet	e t e rf n e t
Etiopía	e t j o p i a
Eufrasia	e w f rf a s j a
Eugenia	e w x e n j a
Eugenio	e w x e n j o
Eulalia	e w l a l j a
Europa	e w rf o p a
Eusebio	e w s e V j o
Eustaquio	e w s t a k j o
Ezequiel	e T e k j e l
Falopio	f a l o p j o
Fernando	f e rf n a n d o
Feroe	f e rf o e
Filadelfia	f i l a D e l f j a
Filomena	f i l o m e n a
Flandes	f l a n d e s
Florencia	f l o rf e n T j a
Fortran	f o rf t rf a n
Francia	f rf a n T j a
Francisca	f rf a n T i s k a
Francisco	f rf a n T i s k o
Frisia	f rf i s j a
